Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,CarbonEmission
0,1,3,1,2,1,2,189,1,1,0,1,13,43,24,1,1593
0,0,2,1,0,1,0,66,2,60,1,5,10,1,12,0,1850
1,1,3,2,1,1,0,164,2,69,1,7,11,3,18,1,2077
2,1,0,1,2,2,1,240,1,5914,3,5,5,7,18,2,2837
3,0,1,3,0,0,0,92,3,733,3,1,7,3,2,1,1279
1,1,0,0,3,1,2,203,3,47,1,5,6,19,19,2,1586
0,1,0,1,1,0,2,112,1,605,2,4,19,49,11,1,1609
2,1,1,2,2,0,0,118,2,614,1,4,22,13,17,2,2552
3,1,0,0,0,1,2,243,3,49,3,5,6,13,16,0,1778
2,0,1,0,1,0,2,241,1,1669,1,6,11,31,9,0,1991
2,0,1,1,0,1,2,106,1,40,3,6,20,29,5,1,1687
1,0,1,1,0,0,0,177,1,378,0,1,22,6,10,0,586
3,1,2,1,1,1,2,146,1,66,0,3,7,29,0,2,1403
2,0,1,3,0,1,0,70,1,48,0,4,19,40,14,2,1263
2,1,1,0,1,2,1,171,1,6066,1,5,1,9,23,1,3685
3,0,1,2,3,2,0,169,3,5869,1,3,3,3,1,0,3537
2,0,0,3,0,0,1,221,3,586,2,6,21,44,22,0,2826
1,1,3,2,3,2,0,296,2,8886,0,3,24,37,4,2,4545
3,1,1,2,1,1,2,179,3,73,3,7,22,45,3,1,2998
0,0,3,3,1,0,0,166,0,1416,2,4,17,29,4,2,1423
0,1,2,2,0,2,0,72,3,574,1,3,4,1,11,1,1000
1,0,2,1,2,1,1,182,0,23,2,6,13,20,16,2,1968
1,1,1,3,0,0,2,107,0,1256,1,6,5,23,1,0,759
0,0,3,3,1,1,0,158,3,24,0,5,2,49,11,2,1955
0,1,3,2,0,2,2,244,3,6393,0,6,15,50,6,0,1543
2,1,1,3,1,1,2,299,1,91,2,4,10,23,23,0,1888
1,1,1,0,2,1,0,282,0,65,2,3,8,36,3,2,1382
2,0,2,1,1,1,2,118,0,57,0,3,14,45,13,1,1476
3,0,0,2,0,0,2,240,0,1077,0,2,4,41,3,1,1083
0,0,1,3,0,1,0,217,2,88,1,1,3,28,15,2,2098
0,0,0,2,3,1,0,274,2,26,0,3,20,49,2,1,2375
2,0,1,1,0,1,2,100,2,4,1,7,14,31,8,0,3153
0,0,2,3,2,2,0,107,1,599,0,3,23,14,9,2,1534
3,1,1,2,1,0,0,263,1,1560,3,5,10,34,6,2,2230
0,1,1,0,0,2,0,188,1,8667,0,4,24,38,16,1,2890
0,0,2,2,1,1,1,280,3,44,1,5,20,35,12,1,2348
1,1,0,3,0,1,2,59,2,50,2,1,16,12,18,2,1511
2,0,0,2,3,0,1,152,2,1155,0,1,0,42,13,2,2937
3,0,2,1,1,0,0,241,3,1927,1,5,15,18,15,0,2464
3,0,1,0,1,0,2,215,3,1225,3,2,19,5,12,2,2183
1,1,0,1,2,1,2,88,2,97,1,6,4,11,24,2,2259
1,0,2,1,2,0,0,90,2,774,0,5,13,7,17,0,2269
1,0,2,2,0,2,0,170,1,7684,3,5,24,30,19,1,3747
1,0,3,1,0,1,0,113,3,30,2,7,18,43,19,1,2167
2,0,2,1,3,1,1,200,1,27,3,3,4,23,19,1,1829
2,0,1,0,1,2,0,81,3,5781,3,6,12,30,20,1,4933
1,1,3,0,1,2,1,174,3,7427,3,4,8,48,22,2,2369
1,1,2,1,2,2,2,229,2,3436,3,6,4,48,1,2,4040
2,1,0,1,1,0,0,253,2,1197,1,3,13,43,21,0,2794
3,1,1,2,3,2,2,54,0,6130,3,7,20,10,3,0,2617
1,0,1,0,1,0,1,135,0,952,3,5,13,35,14,0,1948
2,0,1,3,0,2,1,118,3,5351,1,2,9,1,17,0,1374
0,1,0,2,1,0,0,202,3,233,2,1,21,14,8,2,1438
2,1,0,0,0,0,0,276,1,1960,2,5,19,47,8,1,1877
2,1,3,1,1,0,1,172,3,465,2,4,21,21,22,0,2262
2,0,1,0,2,1,0,290,1,23,0,7,8,5,10,1,1250
0,0,3,2,0,2,0,199,2,8052,0,7,15,49,8,0,3589
3,1,0,3,1,0,0,240,3,1934,0,4,9,36,11,1,2053
0,1,0,3,0,1,0,193,3,61,3,3,10,38,3,1,1630
1,0,2,3,3,2,1,62,3,8304,2,6,3,35,24,2,4464
2,0,1,1,0,0,1,172,3,1529,1,2,7,42,6,2,2449
1,1,2,0,3,0,0,188,3,1878,0,7,24,36,24,2,2107
3,1,0,3,0,0,0,283,1,438,1,4,5,3,2,0,699
2,0,1,2,0,2,2,204,1,9872,0,7,5,1,23,2,1052
2,0,0,1,0,2,2,254,2,6741,2,4,2,45,18,2,5005
3,1,2,3,1,2,2,257,0,1568,1,6,8,24,24,2,2450
2,1,0,1,1,0,1,178,0,866,1,6,11,32,20,0,1539
2,0,1,3,2,2,0,150,3,4240,0,5,22,44,20,2,3831
3,1,0,1,0,1,1,104,2,24,3,2,20,29,8,0,2556
3,1,1,1,2,0,2,92,1,1550,3,5,20,32,20,0,2317
0,0,1,2,1,2,0,70,0,3477,2,5,4,30,0,2,1681
3,1,3,0,0,2,2,295,0,3514,2,4,15,31,12,2,2542
2,0,3,1,1,0,0,51,3,1601,2,4,19,2,23,1,2207
2,1,2,0,1,1,1,116,1,86,0,6,12,43,14,0,1605
2,1,1,0,1,2,0,242,3,9258,3,7,22,44,20,0,4270
2,1,3,2,1,0,1,83,1,1328,2,7,19,4,7,2,1901
0,0,1,1,3,1,1,240,3,92,0,2,5,21,23,1,1875
2,0,2,1,1,1,1,127,0,30,2,3,24,2,9,1,1234
2,0,3,0,1,2,0,128,0,2537,3,3,8,10,21,0,2029
1,1,2,2,3,1,2,71,3,87,2,2,2,17,23,2,1555
1,0,0,1,3,1,2,277,1,20,3,3,16,38,13,0,1794
1,0,3,2,1,0,1,256,0,448,2,3,24,23,6,0,1767
0,1,1,1,1,0,2,136,3,668,0,5,8,38,0,1,1474
3,1,3,2,0,1,1,206,2,16,0,4,15,24,11,1,2109
1,1,2,0,3,2,1,288,0,7878,0,3,7,28,15,1,3180
1,1,0,3,2,2,2,281,1,7510,1,1,14,5,21,1,1024
3,0,2,0,3,2,2,243,3,9513,1,4,16,2,22,1,3953
0,0,2,2,2,1,2,77,2,15,3,1,22,10,20,1,2306
1,1,0,3,3,0,1,162,3,593,2,7,9,25,12,0,2176
0,0,2,3,1,0,1,298,0,146,3,7,17,22,9,1,2114
1,0,2,1,3,1,1,276,2,76,1,4,19,30,14,0,2940
3,0,1,1,0,2,1,86,1,7191,2,1,15,17,2,1,2479
2,0,2,1,3,1,2,76,3,74,1,5,5,35,12,0,2164
3,0,3,0,2,2,2,94,3,6425,3,4,10,4,10,2,3586
1,1,0,0,3,2,0,214,3,4684,3,7,9,44,13,1,3600
2,1,0,0,1,2,1,263,1,2217,2,5,3,13,12,2,1914
3,0,0,1,2,2,0,62,0,8713,3,4,3,28,11,1,4887
1,1,2,1,1,0,0,77,0,614,1,7,1,17,16,2,1110
3,0,1,3,3,2,0,101,0,2703,1,1,22,16,24,1,1575
0,1,3,2,0,2,2,168,3,7491,2,2,17,50,3,2,3312
3,0,2,3,0,2,0,291,1,5944,2,2,9,32,14,0,3367
0,1,3,2,1,1,0,97,2,17,1,5,15,5,24,1,1999
0,1,1,2,3,2,2,122,3,1824,3,1,21,42,12,2,1651
2,0,3,2,2,0,2,130,1,580,2,3,8,37,17,2,2325
1,0,0,0,3,1,2,100,2,60,0,3,15,20,22,2,2106
2,0,2,0,3,1,2,172,0,87,1,2,6,32,3,2,1341
3,0,1,2,0,2,2,255,1,7874,3,3,1,3,5,2,4663
0,1,3,2,0,0,0,263,0,1318,1,4,10,32,15,1,877
1,0,3,2,3,2,1,240,3,2851,1,7,17,8,7,0,2901
1,1,2,0,2,2,2,75,0,9486,3,3,21,3,20,0,3656
3,0,3,3,1,1,0,139,0,96,2,6,8,0,4,1,1393
2,0,2,1,2,1,1,79,1,25,0,3,9,31,11,1,1596
2,0,0,2,1,0,2,167,3,583,3,7,16,28,23,0,2923
0,0,1,1,2,2,0,181,1,5497,2,1,11,20,3,1,3308
2,1,3,0,0,1,2,248,1,10,3,6,11,7,13,0,1511
0,1,2,3,1,2,1,86,1,9629,2,2,23,12,4,1,1103
1,0,0,0,3,2,2,201,2,9072,0,6,20,1,19,2,3877
1,0,0,3,0,1,2,131,3,89,0,2,17,14,16,1,1242
3,0,2,1,1,2,2,127,0,9318,1,7,5,12,24,1,4617
1,0,1,3,1,0,2,124,1,963,3,7,21,37,6,1,2096
2,0,2,0,1,2,0,168,1,1308,3,3,8,31,9,1,1737
0,1,1,2,0,1,1,108,3,28,3,1,8,45,17,1,1433
3,1,2,1,0,1,1,150,3,3,3,6,20,1,4,2,2175
1,0,0,0,3,0,0,63,2,1962,0,7,12,38,7,0,2838
0,0,2,1,0,2,0,235,2,1020,3,7,23,1,21,0,2994
2,1,2,2,1,1,0,252,0,71,0,4,23,34,9,0,1384
0,1,1,1,2,2,2,223,0,7107,3,4,9,43,20,1,1687
2,1,0,2,0,0,0,167,3,911,2,2,16,48,16,0,1874
1,0,0,3,1,0,0,152,1,1488,1,3,24,27,11,0,1444
1,1,3,2,1,1,0,133,1,44,2,1,10,39,15,1,1411
0,0,0,0,1,2,1,167,1,7375,2,4,22,10,23,0,2545
3,1,1,1,3,0,0,64,1,842,1,3,14,34,24,2,1621
1,1,0,3,3,0,1,216,3,1656,0,6,19,36,21,2,1851
1,1,1,3,2,0,0,91,0,1686,2,4,11,25,7,1,1383
2,0,0,0,1,1,1,235,1,69,2,1,3,36,5,0,1633
1,1,0,1,2,0,1,251,2,737,2,3,10,30,20,2,2694
2,1,0,1,0,2,2,131,2,6260,3,5,8,17,8,2,4009
0,0,3,0,1,2,1,173,1,3271,3,6,18,11,18,0,2696
2,1,0,0,1,2,2,131,3,8754,2,6,22,3,17,2,3959
3,0,1,0,1,1,1,184,3,15,3,2,5,3,24,0,2404
3,1,1,1,1,2,2,283,0,8731,2,3,24,38,19,1,5346
1,1,1,2,2,0,0,276,3,1572,2,2,14,42,9,1,2059
0,0,1,2,3,0,0,115,3,1004,0,1,10,27,0,0,1373
2,0,2,0,2,2,0,228,2,9936,0,1,5,40,3,0,4914
3,0,1,3,1,1,0,97,1,87,1,4,19,41,3,0,1526
2,0,2,2,2,1,2,60,1,10,1,5,2,9,9,1,1615
0,1,1,0,1,1,2,109,1,8,3,1,12,17,7,2,1107
1,0,0,0,0,1,1,254,0,73,0,7,16,4,20,2,925
3,0,3,3,2,0,0,104,3,643,2,3,18,2,20,0,2548
1,0,3,1,0,0,2,83,3,343,1,6,8,33,18,2,1986
0,1,2,3,0,1,1,162,3,60,1,4,4,22,19,0,1448
0,1,1,1,0,1,2,181,2,16,0,3,6,39,0,1,1936
3,0,3,1,0,2,0,92,2,9686,3,6,9,46,14,1,6738
2,1,0,1,3,2,1,125,3,5674,0,3,4,21,17,2,1809
3,0,1,0,0,0,0,150,0,1425,2,2,8,23,9,2,897
0,1,0,0,0,0,1,73,0,316,1,3,23,37,20,0,982
0,1,2,0,3,2,1,186,0,3881,1,4,23,34,15,0,2166
2,1,1,1,2,2,2,273,1,1019,3,1,6,37,24,0,1921
1,1,2,0,2,2,2,74,3,2825,2,6,20,10,11,0,2180
1,0,2,1,3,1,2,290,1,87,0,1,22,25,21,1,1468
1,0,3,1,0,1,1,117,1,56,2,7,2,20,24,2,1793
2,0,3,0,0,0,0,136,1,1427,0,4,15,20,15,0,1277
3,0,0,2,3,2,1,289,3,5380,0,5,8,14,24,1,4255
1,0,3,0,2,0,0,291,3,880,0,3,13,39,17,2,2352
0,0,2,1,0,0,2,175,3,1488,0,3,9,25,5,1,1592
2,1,2,2,2,1,2,193,2,55,2,7,14,34,14,0,3657
0,0,2,2,3,1,0,288,2,37,3,2,0,46,6,1,2693
0,1,2,0,3,1,0,248,2,7,2,2,19,47,16,0,2558
0,1,1,2,1,2,1,272,2,9664,0,2,15,22,23,1,4497
3,0,2,2,3,1,1,239,0,50,3,1,23,37,20,1,2241
0,1,2,0,0,2,0,92,1,1363,3,6,23,7,1,2,1434
1,1,0,3,0,0,2,298,1,1664,2,1,4,35,7,1,1101
2,1,0,3,2,0,0,95,1,1110,1,4,9,49,10,2,1816
1,0,1,2,2,2,1,176,0,7243,2,5,17,7,10,1,3575
0,1,0,2,3,0,1,200,3,337,1,2,21,7,6,2,1499
2,1,0,0,0,1,2,65,3,88,1,5,23,44,16,0,1703
3,1,3,3,3,2,1,180,2,8977,2,1,12,19,1,1,5667
2,0,3,3,0,1,2,131,1,64,2,7,20,29,21,1,1884
3,1,1,1,1,1,1,69,2,50,3,3,21,22,22,2,3060
1,1,3,1,0,1,2,199,2,95,2,2,15,26,9,2,2009
3,1,0,1,1,2,0,119,2,4842,0,7,10,41,6,0,3299
0,0,1,2,0,1,2,155,3,60,3,6,5,32,22,0,2277
2,0,2,3,3,0,1,117,2,1436,2,2,9,34,5,2,3295
2,1,0,2,3,2,0,59,3,7300,0,3,13,38,6,2,4584
3,0,3,2,1,1,0,146,3,18,3,5,22,1,17,0,2384
3,1,2,2,0,0,0,222,0,1153,2,1,7,14,10,0,876
3,0,3,2,1,2,0,198,2,1335,3,3,14,39,16,2,4063
0,0,3,0,3,1,2,206,0,65,2,2,11,12,5,2,1164
3,1,0,3,3,0,0,227,0,1783,3,7,24,36,18,0,2129
0,1,0,0,1,1,0,142,2,31,1,6,11,31,6,1,2193
0,1,1,0,1,0,0,188,3,309,1,7,6,20,24,2,1801
3,1,2,3,3,0,2,215,2,1894,2,4,16,33,16,2,3404
1,1,0,1,2,2,1,169,1,8111,1,6,15,6,13,2,2347
1,1,1,3,1,2,1,145,2,3825,0,3,16,34,9,2,2864
2,1,3,2,3,0,1,235,0,1424,2,3,7,2,8,0,1302
1,1,2,0,3,2,1,235,2,4685,3,2,3,34,18,2,3370
0,0,1,0,2,0,2,198,0,446,2,4,13,44,14,0,2057
2,1,1,2,0,2,1,131,2,6808,3,7,14,3,2,1,3549
1,0,2,0,1,2,1,158,3,6469,2,3,5,21,18,1,3792
0,1,0,2,2,0,1,291,2,1735,3,6,15,22,1,0,2897
0,0,2,1,0,0,1,65,0,93,1,7,16,2,3,2,961
0,1,1,0,0,1,1,73,1,15,1,1,5,27,17,2,1023
0,0,1,3,2,2,1,223,0,8848,1,6,10,47,2,2,2070
1,0,0,1,2,1,2,118,0,11,2,2,2,9,0,0,1059
0,0,1,3,2,0,2,223,3,1690,1,4,4,34,1,1,2220
2,0,0,0,0,0,0,145,3,1724,1,7,4,9,4,2,1897
2,0,3,3,0,1,2,237,1,95,1,7,14,33,15,1,2007
0,0,0,3,0,2,2,50,0,5902,3,6,13,28,19,1,2357
2,1,2,0,0,1,0,164,0,3,1,6,18,24,3,2,990
1,1,3,1,0,2,0,277,2,2883,2,2,9,43,0,0,2161
1,1,2,3,1,1,0,275,1,12,1,7,10,23,19,1,1603
2,0,3,3,3,1,0,204,2,51,2,4,22,18,10,1,2592
1,0,1,1,1,1,0,192,1,30,3,2,7,8,8,2,1148
2,0,3,1,1,1,0,290,2,11,3,6,16,15,23,1,3194
2,0,0,2,0,2,2,195,3,2829,0,7,13,2,5,2,2573
3,1,1,1,2,2,0,280,0,8948,2,5,23,6,11,1,1460
3,1,2,3,3,0,1,291,0,137,1,4,7,35,14,0,1858
3,0,2,3,2,0,1,177,2,743,2,7,11,6,16,1,3929
2,0,0,3,3,2,0,188,3,553,3,3,4,14,0,0,1929
3,0,1,3,3,2,0,126,2,180,0,4,18,39,0,0,3227
3,1,2,3,2,0,1,283,1,453,3,5,3,8,21,0,2305
3,0,1,2,1,0,0,241,3,1400,3,3,4,47,4,1,2743
0,0,2,1,1,1,0,59,1,42,1,6,4,19,16,2,1442
1,1,2,1,1,1,0,72,1,73,2,6,7,46,4,2,1576
0,0,2,1,0,1,1,282,2,43,1,4,7,10,19,0,2469
0,0,3,1,3,2,0,211,1,9514,0,5,23,48,9,0,1616
3,1,2,1,3,1,0,148,1,74,3,1,12,35,3,2,1714
0,0,0,2,0,2,0,57,0,3147,1,1,3,46,21,2,1626
1,0,1,1,2,1,0,201,2,6,2,4,3,6,17,2,2662
3,0,2,3,0,1,0,154,0,85,0,2,2,2,20,1,485
0,1,3,2,0,1,2,265,0,46,0,4,11,6,9,2,623
3,1,1,0,1,1,2,141,3,37,2,4,15,11,14,1,1867
3,0,2,0,0,2,0,160,3,9408,2,7,21,23,7,2,4787
0,1,2,0,2,1,0,155,0,57,0,6,19,37,24,1,1233
0,1,0,3,2,1,1,161,3,22,2,6,8,45,10,2,2293
0,1,2,3,2,0,0,242,1,243,1,3,17,24,8,0,1206
1,0,2,1,1,2,1,186,2,122,1,3,7,2,19,0,2474
0,1,3,2,3,0,0,198,2,1030,3,1,7,3,14,0,1922
1,1,2,0,3,1,2,279,3,20,3,5,17,41,22,2,2672
2,0,3,3,1,2,2,90,3,3428,1,3,3,19,21,1,2679
3,0,2,3,3,1,2,222,0,48,2,4,7,12,15,1,1908
2,0,2,2,0,1,2,297,0,31,2,2,0,12,17,1,1264
0,1,0,0,3,2,2,105,1,1122,3,2,11,10,11,1,1302
2,1,2,1,1,0,1,148,1,379,2,1,8,22,18,1,1353
1,0,2,2,2,2,2,284,2,6645,2,6,19,33,2,0,6160
0,0,3,1,2,2,1,248,3,8241,0,6,23,5,18,0,4680
1,1,3,3,0,1,2,73,0,33,0,3,8,43,1,1,960
0,1,3,0,2,2,1,87,3,1262,2,5,4,6,9,0,2032
2,0,3,1,3,0,0,175,2,1777,0,5,14,9,22,2,2930
1,0,2,1,1,0,2,150,3,1794,3,5,7,18,19,2,2288
2,1,1,3,2,0,0,65,2,420,2,4,6,24,2,2,2808
2,0,2,3,3,1,2,88,1,96,2,4,24,30,11,2,1673
0,1,2,3,3,1,0,127,0,57,1,2,14,49,16,1,991
2,0,2,0,3,2,2,83,1,3362,3,7,19,3,0,1,3301
3,0,0,0,1,0,0,112,0,1451,0,4,5,24,21,0,1210
2,1,1,2,2,1,0,243,1,36,3,2,13,38,11,0,1917
2,1,2,3,3,2,2,173,2,1955,2,4,24,18,15,0,3268
1,0,3,3,1,1,2,260,0,68,3,3,21,40,21,1,1725
1,1,0,3,0,1,2,72,2,92,3,4,18,3,0,2,1841
1,1,0,0,0,1,1,255,2,55,1,1,19,2,21,2,1853
2,0,2,0,1,2,1,75,2,9895,2,6,17,4,9,0,5935
2,0,0,1,2,0,0,243,1,1219,2,5,10,46,4,1,2382
0,1,3,3,2,2,0,244,3,2972,0,5,17,16,15,2,2635
1,1,3,1,0,2,1,138,0,1246,3,2,10,33,12,2,1141
0,0,1,3,1,1,1,232,1,52,1,1,12,43,22,2,1460
3,1,1,1,0,1,1,131,2,34,0,6,20,15,6,0,1991
3,1,0,1,3,1,1,113,0,42,1,3,20,1,7,2,783
3,0,0,1,1,0,2,177,2,296,1,7,2,30,19,1,3536
2,1,2,3,0,2,2,253,2,9832,0,5,15,17,0,1,3738
2,1,2,2,2,1,2,107,1,50,1,3,8,43,14,1,1650
0,1,2,0,3,1,0,262,2,2,0,6,1,1,19,2,1959
2,1,3,2,0,1,2,206,2,6,3,7,6,19,20,2,2986
3,0,0,1,1,1,2,212,0,24,1,6,9,32,14,2,2033
1,1,2,2,2,1,2,276,3,32,1,6,18,16,14,1,2176
0,1,2,3,0,2,2,178,2,9071,1,4,23,11,14,2,4050
1,0,0,2,2,2,0,187,2,1617,1,4,13,14,12,0,2947
1,1,3,2,3,1,1,58,1,54,2,4,5,9,14,0,1070
1,0,0,1,0,2,0,257,2,9385,1,2,10,41,3,0,5449
3,0,3,3,0,0,2,205,0,432,1,4,23,17,12,2,1159
1,0,2,0,3,0,2,84,3,26,1,3,24,45,3,0,2011
3,0,0,0,3,2,2,166,1,4195,1,2,21,43,5,1,3422
1,0,3,2,1,2,0,99,2,9346,1,1,20,14,2,2,4401
2,0,2,2,2,0,2,108,0,1364,3,1,16,17,22,0,1484
2,0,0,2,3,1,1,130,1,64,1,5,14,6,15,0,1520
1,0,0,1,0,1,1,171,3,74,3,2,24,42,20,1,2079
2,1,2,2,1,0,1,100,0,448,2,3,18,43,10,1,1586
2,0,3,1,3,2,2,120,2,8975,2,3,6,30,13,2,5477
3,0,1,3,0,2,0,180,2,661,0,1,4,21,8,1,2207
3,0,1,3,1,2,1,190,1,2148,2,2,18,12,21,2,2389
1,0,1,0,2,1,0,293,2,95,3,2,20,8,18,2,2716
1,1,3,1,2,2,2,64,3,7893,0,5,19,48,6,1,3923
0,1,1,0,2,2,1,183,1,8691,2,1,5,26,1,1,2421
0,1,3,3,1,0,2,230,2,1159,2,3,4,18,20,0,2334
3,1,0,2,2,1,1,209,1,13,0,4,11,26,20,2,1866
0,0,1,2,2,0,0,176,3,1798,1,4,7,0,24,2,1680
0,0,0,3,2,1,0,180,2,67,3,2,13,48,7,2,2958
3,0,1,1,0,0,2,100,2,1660,3,2,1,38,0,1,2701
1,1,3,2,2,0,1,238,3,654,2,2,10,4,21,1,1877
3,1,0,1,3,2,1,166,2,9722,0,3,14,21,16,2,5186
3,1,1,1,3,0,2,201,1,1263,2,1,16,47,13,1,1644
1,1,3,2,2,0,2,263,1,600,1,1,7,0,13,2,1152
0,0,3,3,3,1,1,286,1,8,1,3,22,40,14,0,1611
0,0,2,1,3,0,0,214,1,1536,3,7,9,50,6,2,2579
2,1,0,0,0,1,1,113,0,50,0,4,3,7,5,2,590
3,0,0,1,3,1,2,73,2,66,2,4,15,21,7,1,3093
1,0,1,2,1,0,1,243,0,1601,2,3,9,31,23,1,1647
3,0,0,2,1,2,0,74,0,6022,3,6,24,12,20,1,2002
3,1,2,0,0,2,2,212,2,6826,2,7,0,26,18,1,3197
0,0,0,2,2,2,0,238,0,9839,0,2,10,37,4,1,3931
1,0,0,2,0,0,1,232,3,618,3,4,9,17,24,0,2166
2,0,3,2,0,2,0,132,1,6775,0,3,11,29,21,2,1172
0,0,3,2,1,2,2,275,0,5792,1,1,3,19,20,1,1846
1,1,1,1,2,1,0,166,0,88,3,3,14,0,23,2,1351
3,1,1,1,0,1,1,50,1,39,0,2,24,20,6,1,803
0,0,2,0,0,1,0,166,0,68,0,3,20,41,12,2,1098
0,1,1,3,2,0,1,253,3,1824,2,3,18,11,15,2,1761
0,0,0,0,2,2,2,88,1,6775,0,7,10,27,24,0,1808
1,1,0,0,0,1,0,173,2,90,1,3,15,29,9,1,1873
2,1,1,2,3,2,1,253,1,1315,1,5,16,7,10,0,1153
1,1,3,1,3,1,0,165,3,94,1,3,24,31,8,2,1637
0,1,2,0,2,0,1,109,2,1931,2,3,20,11,13,2,2245
1,1,3,3,3,0,2,157,3,465,1,6,9,32,6,2,1942
2,1,2,1,3,0,0,267,3,766,2,7,16,30,20,2,2836
2,0,3,0,2,1,1,85,3,44,0,2,16,1,14,2,1928
1,1,0,0,1,0,1,151,1,1740,3,6,13,25,5,0,1788
3,1,3,3,2,0,2,298,0,1168,2,5,2,19,16,2,1887
2,0,3,0,2,1,0,259,3,62,1,5,7,42,17,1,2983
1,0,3,0,0,1,0,253,0,54,2,7,19,19,6,0,1522
1,1,3,2,1,2,0,216,1,8921,0,5,22,35,10,2,4184
3,1,1,1,0,1,0,94,0,32,3,4,11,2,17,0,737
1,0,3,0,1,0,2,147,1,674,1,2,12,5,9,2,1256
2,1,2,0,3,1,0,123,1,4,1,6,11,25,19,0,1756
1,0,0,3,2,1,2,124,1,13,0,7,12,36,14,0,1747
3,0,1,3,0,2,1,201,1,3929,1,1,20,3,9,1,2020
1,0,0,2,3,0,0,98,1,455,3,6,15,23,23,0,1740
1,0,0,0,0,0,1,52,1,795,1,1,12,47,7,1,1281
0,1,2,0,2,1,1,87,3,83,2,4,11,15,9,0,1809
2,1,3,0,3,2,2,281,1,7298,2,2,1,44,21,1,1968
1,0,1,1,2,1,2,97,0,90,1,4,5,25,1,1,1332
1,1,1,2,2,1,2,251,0,93,2,4,23,16,20,1,1491
2,0,2,2,3,1,2,246,1,43,3,5,12,7,12,1,2062
1,0,1,2,2,1,1,107,0,10,3,6,20,2,6,2,1819
2,0,2,2,3,0,0,147,0,451,0,7,21,31,12,1,1615
2,0,3,0,2,1,2,175,0,92,2,1,10,36,9,1,1560
2,0,3,2,0,0,0,268,0,824,1,4,18,17,3,2,1140
1,1,2,3,2,2,1,145,0,6011,1,1,14,34,8,0,2152
1,1,3,3,0,1,1,171,0,8,1,4,7,8,2,1,774
3,0,1,1,1,2,1,237,0,6580,2,2,16,3,17,2,1379
2,0,3,0,0,2,2,262,1,3694,2,4,1,10,20,0,1511
1,1,3,2,2,0,0,171,3,287,3,6,2,7,8,1,1910
3,1,0,0,2,1,0,257,0,87,3,3,20,15,5,2,1517
2,1,2,1,1,1,0,164,0,88,0,5,17,41,9,1,1556
2,0,0,2,0,2,1,160,1,7368,3,3,13,2,16,2,2584
2,1,1,2,2,1,2,70,3,51,1,5,3,3,1,1,1857
2,0,1,3,0,0,1,131,2,1185,1,4,19,15,16,2,2592
1,0,0,0,3,1,2,153,0,19,3,2,23,41,9,0,1354
1,0,1,0,2,2,0,299,0,5267,3,6,7,44,16,1,3376
0,1,3,3,1,2,1,222,2,5321,1,2,16,44,24,2,3386
1,1,1,3,3,1,0,116,0,52,2,1,15,33,4,2,920
1,1,3,3,2,1,0,143,1,69,2,3,8,32,21,0,1484
3,0,1,0,3,0,2,201,2,1759,1,3,17,1,23,0,2861
3,1,2,1,0,1,0,229,3,81,2,5,8,22,6,2,2064
1,0,0,3,1,1,1,299,1,98,3,7,14,11,11,2,2132
3,0,0,3,0,0,1,191,0,118,3,2,7,7,0,2,865
2,0,3,0,3,0,2,194,3,192,3,4,22,11,22,0,2436
0,0,0,0,0,0,0,182,3,1843,2,3,24,14,18,1,1757
2,0,1,0,2,2,2,109,3,1635,2,3,12,26,24,1,2501
2,0,1,1,3,0,1,158,2,1464,3,3,8,0,21,0,2753
0,1,2,3,3,2,1,83,1,9658,2,2,17,1,5,1,2218
0,1,2,0,0,2,2,233,0,7843,0,1,0,26,23,0,2483
0,0,1,0,0,0,0,246,2,612,2,2,23,23,14,2,2106
3,0,0,1,0,1,2,89,2,37,2,5,20,18,4,0,3127
3,0,0,0,0,2,2,85,1,4226,0,7,15,32,12,2,3045
2,1,3,2,3,0,2,189,3,249,0,4,15,40,18,1,2023
2,0,0,2,2,0,2,182,0,1107,2,5,9,35,19,2,2366
3,1,3,2,3,0,0,218,2,1704,3,7,4,43,21,2,3933
0,1,3,1,2,0,2,58,0,420,1,5,5,11,14,0,1172
1,0,3,1,2,2,2,173,1,4472,0,4,12,0,23,1,2989
3,1,0,1,2,2,2,96,0,101,3,2,17,36,14,0,1650
2,0,2,1,3,0,0,272,1,996,2,6,24,29,21,1,2255
0,1,0,3,2,0,1,115,0,32,0,3,13,37,15,1,1325
3,0,2,0,3,2,2,179,3,746,2,6,11,30,10,2,3380
1,0,0,2,2,2,1,190,0,2638,2,6,23,25,4,1,2318
1,0,1,3,2,1,2,246,1,9,1,1,17,8,23,2,1448
3,0,3,1,2,0,2,140,2,1902,2,2,24,36,10,2,3585
3,0,3,1,2,2,2,95,2,7788,0,6,0,35,20,2,4882
1,1,1,1,0,0,1,233,3,1939,0,3,17,25,5,2,1500
0,1,3,2,0,2,1,227,3,2512,1,5,18,50,12,0,2015
3,0,3,2,2,0,1,296,2,686,2,5,2,40,8,1,4542
2,0,1,2,2,1,0,283,0,41,2,4,19,41,11,0,2030
